Record Id,Partner Name,Phone,Email,Website,GL Account,Partner Owner.id,Partner Owner,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Street,City,Zip Code,Country,Description,Tag,Locked,Email Opt Out,Unsubscribed Mode,Unsubscribed Time,Show Admin,Partner Type,State_,Last Activity Time
zcrm_6229020000007225365,Raspberry Pi,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2024-11-20 12:55:57,2024-11-20 12:55:57,,,,,,,false,false,,,false,,,
zcrm_6229020000007303092,NASA,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2024-11-21 16:08:22,2024-11-21 16:08:22,,,,,,,false,false,,,false,,,
zcrm_6229020000007374018,My Coding Place,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2024-11-22 10:02:36,2024-11-22 10:02:36,,,,,,,false,false,,,false,,,
zcrm_6229020000007383011,Math Pentathalon,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2024-11-22 11:12:39,2024-11-22 11:12:39,,,,,,,false,false,,,false,,,
zcrm_6229020000007383089,The Thinkery,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2024-11-22 12:59:54,2024-11-22 12:59:54,,,,,,,false,false,,,false,,,
zcrm_6229020000007383140,KiwiCo,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2024-11-22 14:38:50,2024-11-22 14:38:50,,,,,,,false,false,,,false,,,
zcrm_6229020000007823011,Harvard,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-12-04 07:33:24,2024-12-04 07:33:24,,,,,,,false,false,,,false,,,
zcrm_6229020000008261027,Bambu Labs,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2024-12-11 14:22:43,2024-12-11 14:22:43,,,,,,,false,false,,,false,,,
zcrm_6229020000008261064,Boolean girl,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2024-12-11 14:36:05,2024-12-11 14:36:05,,,,,,,false,false,,,false,,,
zcrm_6229020000008261127,Code Ninjas,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2024-12-11 14:46:53,2024-12-11 14:46:53,,,,,,,false,false,,,false,,,
zcrm_6229020000008261152,Houston Museum of Natural Science,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2024-12-11 14:51:01,2024-12-11 14:51:01,,,,,,,false,false,,,false,,,
zcrm_6229020000008599013,LEGO,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2024-12-17 15:17:51,2024-12-17 15:17:51,,,,,,,false,false,,,false,,,
zcrm_6229020000008599038,MakerKids,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2024-12-17 15:18:53,2024-12-17 15:18:53,,,,,,,false,false,,,false,,,
zcrm_6229020000008873001,Synapse Science & Technology Learning Center,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-12-19 10:37:41,2024-12-19 10:37:41,,,,,,,false,false,,,false,,,
zcrm_6229020000008873054,Steam,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-12-19 10:43:05,2024-12-19 10:43:05,,,,,,,false,false,,,false,,,
zcrm_6229020000008873094,Soundtrap,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-12-19 10:44:39,2024-12-19 10:44:39,,,,,,,false,false,,,false,,,
zcrm_6229020000008956074,MathAcademy,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2024-12-20 14:45:48,2024-12-20 14:45:48,,,,,,,false,false,,,false,,,
zcrm_6229020000009591108,Kumon,,,,,zcrm_6229020000002062001,Bilqis Taiwo,zcrm_6229020000002062001,Bilqis Taiwo,zcrm_6229020000002062001,Bilqis Taiwo,2025-01-09 21:32:26,2025-01-09 21:32:26,,,,,,,false,false,,,false,,,
zcrm_6229020000009591168,VeX,,,,,zcrm_6229020000002062001,Bilqis Taiwo,zcrm_6229020000002062001,Bilqis Taiwo,zcrm_6229020000002062001,Bilqis Taiwo,2025-01-09 21:59:07,2025-01-09 21:59:07,,,,,,,false,false,,,false,,,
zcrm_6229020000009591178,VEX Robotics,,,,,zcrm_6229020000002062001,Bilqis Taiwo,zcrm_6229020000002062001,Bilqis Taiwo,zcrm_6229020000002062001,Bilqis Taiwo,2025-01-09 22:00:55,2025-01-09 22:00:55,,,,,,,false,false,,,false,,,
zcrm_6229020000009591276,Brain Pop,,,,,zcrm_6229020000002062001,Bilqis Taiwo,zcrm_6229020000002062001,Bilqis Taiwo,zcrm_6229020000002062001,Bilqis Taiwo,2025-01-09 22:31:12,2025-01-09 22:31:12,,,,,,,false,false,,,false,,,
zcrm_6229020000009591334,KiwiCo,,,,,zcrm_6229020000002062001,Bilqis Taiwo,zcrm_6229020000002062001,Bilqis Taiwo,zcrm_6229020000002062001,Bilqis Taiwo,2025-01-09 22:38:21,2025-01-09 22:38:21,,,,,,,false,false,,,false,,,
zcrm_6229020000009591349,Prodigy,,,,,zcrm_6229020000002062001,Bilqis Taiwo,zcrm_6229020000002062001,Bilqis Taiwo,zcrm_6229020000002062001,Bilqis Taiwo,2025-01-09 22:39:23,2025-01-09 22:39:23,,,,,,,false,false,,,false,,,
zcrm_6229020000010578021,Biochemistry Literacy,,,,,zcrm_6229020000002062001,Bilqis Taiwo,zcrm_6229020000002062001,Bilqis Taiwo,zcrm_6229020000002062001,Bilqis Taiwo,2025-01-17 10:33:06,2025-01-17 10:33:06,,,,,,,false,false,,,false,,,
