Record Id,District / School Name,District / School Owner.id,District / School Owner,Email,Secondary Email,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Last Activity Time,Email Opt Out,Tag,Unsubscribed Mode,Unsubscribed Time,Type,Locked,District.id,District,Show Admin Section,Regional Service Center,School Type,Setting,School Size,School Grades,District Type,District Size,NCES School ID,Street,City,Zip Code,State,School Website,District Website,NCES School Link,NCES District ID,NCES District Link
zcrm_6229020000027182164,China Spring ISD,zcrm_6229020000009645001,Kayla Heyward,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-06-08 18:00:20,2025-06-08 18:00:20,,false,,,,District,false,,,false,,,,,,,,,,,,,,,,,
zcrm_6229020000027185021,San Felipe Del Rio CISD,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-06-08 15:32:45,2025-06-08 15:32:45,,false,,,,District,false,,,false,15,,Rural,,,Traditional Public,"5,000 to 9,999",,P O Drawer 428002,Del Rio,78842,Texas,,http://www.sfdr-cisd.org,,4838900,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=2&details=1&ID2=4838900&DistrictID=4838900
zcrm_6229020000027185033,Ceniza Hills El,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-06-08 15:34:30,2025-06-08 15:34:30,,false,,,,School,false,zcrm_6229020000027185021,San Felipe Del Rio CISD,false,15,Traditional Public,,Small (300-599),Elementary,,,483890013,P O DRAWER 428002,Del Rio,78842,Texas,https://nces.ed.gov/transfer.asp?location=www.sfdr-cisd.org/elementary-schools/ceniza-hills-elementary/,,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=ceniza+hills&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=483890013968,,
zcrm_6229020000027185069,Travis Hts El,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-06-08 16:10:45,2025-06-08 16:10:45,,false,,,,School,false,zcrm_6229020000024795149,Austin ISD,false,13,Traditional Public,Urban,Small (300-599),Elementary,,,480894000,2010 ALAMEDA DR,Austin,78704,Texas,https://nces.ed.gov/transfer.asp?location=www.austinisd.org/schools/travisheights,,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=travis+heights&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=480894000361,,
zcrm_6229020000027185110,Oak Hill El,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-06-08 16:25:39,2025-06-08 16:25:39,,false,,,,School,false,zcrm_6229020000024795149,Austin ISD,false,13,Traditional Public,Urban,Medium (600-899),Elementary,,,480894000,6101 PATTON RANCH RD,Austin,78735,Texas,https://nces.ed.gov/transfer.asp?location=www.austinisd.org/schools/oakhill,,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=oak+hill&City=austin&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=480894000339,,
zcrm_6229020000027194104,Stellar Texas Virtual School,zcrm_6229020000009645001,Kayla Heyward,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-06-09 06:57:37,2025-06-09 06:57:37,,false,,,,District,false,,,false,,,,,,,,,,,,,,,,,
zcrm_6229020000027194168,Cox Elementary,zcrm_6229020000009645001,Kayla Heyward,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-06-09 09:33:51,2025-06-09 09:33:51,,false,,,,School,false,,,false,,,,,,,,,,,,,,,,,
zcrm_6229020000027315055,ORENDA CHARTER SCHOOL,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-06-09 12:24:59,2025-06-09 12:24:59,,false,,,,District,false,,,false,13,Public Charter,Urban,,,Public Charter,"1,000 to 2,499",,2951 Williams Dr,Georgetown,78628,Texas,,https://nces.ed.gov/transfer.asp?location=www.orendaeducation.org,,4800235,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=2&details=1&ID2=4800235&DistrictID=4800235
zcrm_6229020000027315067,Gateway College Preparatory School,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-06-09 12:27:38,2025-06-09 12:27:38,,false,,,,School,false,zcrm_6229020000027315055,ORENDA CHARTER SCHOOL,false,13,Public Charter,Urban,"Large (900-1,999)",All Grades,,,480023512,3360 WESTINGHOUSE RD,Georgetown,78626,Texas,https://nces.ed.gov/transfer.asp?location=www.gatewaycps.org,,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=Gateway+College+Preparatory&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=480023512294,,
zcrm_6229020000027425092,Mckinney ISD,zcrm_6229020000009645001,Kayla Heyward,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-06-10 10:22:18,2025-06-10 10:22:18,,false,,,,District,false,,,false,,,,,,,,,,,,,,,,,
